playid	id	emolabel	emolevel	tag
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamswerking	maek my de kop niet warm
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamsdeel	kop
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.1	Verdriet	Emotie	leed
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.2	Wroeging	Emotie	rouwen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamsdeel	traanen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.733.s.3	Verdriet	Lichaamswerking	huilen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.738.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traanen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamswerking	't gemoet is my zo vol
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	gemoet
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Emotie	leed
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traenen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	snot
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamswerking	snot en kwyl te huilen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	kwyl
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.755.s.1	Verdriet	Lichaamswerking	huilt
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.764.s.1	Welwillendheid	Emotie	zoetjes
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	balken
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Emotie	droefheid
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Lichaamswerking	droefheid
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Opluchting	Lichaamswerking	verlichten
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.855.s.6	Verdriet	Lichaamswerking	huilen
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	hikkende
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	snikkende
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	begint hart op te balken
alew001besl01	alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	balken
