id	emo-label	emo-level	tag
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.1	Blijdschap	Emotie	bly
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.1	Blijdschap	Lichaamsdeel	gemoed
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.3	Liefde	Emotie	liefd
alew001besl01_01.TEI.2.text.body.div.div.sp.1006.s.1	Blijdschap	Emotie	vreugd
alew001besl01_01.TEI.2.text.body.div.div.sp.1006.s.2	Bedruktheid	Lichaamsdeel	leever
alew001besl01_01.TEI.2.text.body.div.div.sp.1012.s.2	Bedruktheid	Emotie	belaaden
alew001besl01_01.TEI.2.text.body.div.div.sp.1012.s.2	Bezorgdheid	Emotie	belaaden
alew001besl01_01.TEI.2.text.body.div.div.sp.1020.s.1	Angst	Emotie	vrees
alew001besl01_01.TEI.2.text.body.div.div.sp.1028.s.1	Blijdschap	Emotie	vermaak
alew001besl01_01.TEI.2.text.body.div.div.sp.1034.s.1	Angst	Emotie	vrees
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Angst	Lichaamswerking	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Angst	Emotie	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Bezorgdheid	Lichaamswerking	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Bezorgdheid	Emotie	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1075.s.1	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.1083.s.1	Bezorgdheid	Emotie	zwarigheid
alew001besl01_01.TEI.2.text.body.div.div.sp.1092.s.1	Bedruktheid	Emotie	bezwaard
alew001besl01_01.TEI.2.text.body.div.div.sp.1263.s.2	Wroeging	Lichaamsdeel	bloed
alew001besl01_01.TEI.2.text.body.div.div.sp.1263.s.2	Ongeluk	Lichaamsdeel	bloed
alew001besl01_01.TEI.2.text.body.div.div.sp.1302.s.3	Verdriet	Lichaamswerking	ik versmelt in traenen
alew001besl01_01.TEI.2.text.body.div.div.sp.1302.s.3	Verdriet	Lichaamsdeel	traenen
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Emotie	bewoogen
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Verdriet	Emotie	hartseer
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Verdriet	Lichaamswerking	hartseer
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Emotie	meedoogend
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Lichaamsdeel	oogen
alew001besl01_01.TEI.2.text.body.div.div.sp.1625.s.5	Welwillendheid	Emotie	lijen
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Woede	Lichaamswerking	hart
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Welwillendheid	Lichaamswerking	verzachten
