id	emolabel	emolevel	tag
alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamswerking	maek my de kop niet warm
alew001besl01_01.TEI.2.text.body.div.div.sp.614.s.1	Woede	Lichaamsdeel	kop
alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.1	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.628.s.2	Wroeging	Emotie	rouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.726.s.1	Verdriet	Lichaamsdeel	traanen
alew001besl01_01.TEI.2.text.body.div.div.sp.733.s.3	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.738.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traanen
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamswerking	't gemoet is my zo vol
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	gemoet
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.746.s.2	Verdriet	Lichaamsdeel	traenen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	snot
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamswerking	snot en kwyl te huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.745.s.1	Verdriet	Lichaamsdeel	kwyl
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.755.s.1	Verdriet	Lichaamswerking	huilt
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.764.s.1	Welwillendheid	Emotie	zoetjes
alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	balken
alew001besl01_01.TEI.2.text.body.div.div.sp.775.s.1	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Emotie	droefheid
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Verdriet	Lichaamswerking	droefheid
alew001besl01_01.TEI.2.text.body.div.div.sp.829.s.1	Opluchting	Lichaamswerking	verlichten
alew001besl01_01.TEI.2.text.body.div.div.sp.855.s.6	Verdriet	Lichaamswerking	huilen
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	hikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.844.s.1	Verdriet	Lichaamswerking	snikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	begint hart op te balken
alew001besl01_01.TEI.2.text.body.div.div.sp.stage.854.s.1	Verdriet	Lichaamswerking	balken
alew001besl01_01.TEI.2.text.body.div.div.sp.870.s.2	Verdriet	Lichaamswerking	janken
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.874.s.1	Verdriet	Lichaamswerking	hikkende snikkende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.914.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.speaker.925.s.1	Verdriet	Lichaamswerking	huilende
alew001besl01_01.TEI.2.text.body.div.div.sp.1006.s.1	Blijdschap	Emotie	vreugd
alew001besl01_01.TEI.2.text.body.div.div.sp.1006.s.2	Bedruktheid	Lichaamsdeel	leever
alew001besl01_01.TEI.2.text.body.div.div.sp.1012.s.2	Bedruktheid	Emotie	belaaden
alew001besl01_01.TEI.2.text.body.div.div.sp.1012.s.2	Bezorgdheid	Emotie	belaaden
alew001besl01_01.TEI.2.text.body.div.div.sp.1020.s.1	Angst	Emotie	vrees
alew001besl01_01.TEI.2.text.body.div.div.sp.1028.s.1	Blijdschap	Emotie	vermaak
alew001besl01_01.TEI.2.text.body.div.div.sp.1034.s.1	Angst	Emotie	vrees
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Angst	Lichaamswerking	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Angst	Emotie	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Bezorgdheid	Lichaamswerking	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1058.s.1	Bezorgdheid	Emotie	benouwen
alew001besl01_01.TEI.2.text.body.div.div.sp.1075.s.1	Verdriet	Emotie	leed
alew001besl01_01.TEI.2.text.body.div.div.sp.1083.s.1	Bezorgdheid	Emotie	zwarigheid
alew001besl01_01.TEI.2.text.body.div.div.sp.1092.s.1	Bedruktheid	Emotie	bezwaard
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.1	Blijdschap	Emotie	bly
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.1	Blijdschap	Lichaamsdeel	gemoed
alew001besl01_01.TEI.2.text.body.div.div.lg.1227.s.3	Liefde	Emotie	liefd
alew001besl01_01.TEI.2.text.body.div.div.sp.1263.s.2	Wroeging	Lichaamsdeel	bloed
alew001besl01_01.TEI.2.text.body.div.div.sp.1263.s.2	Ongeluk	Lichaamsdeel	bloed
alew001besl01_01.TEI.2.text.body.div.div.sp.1302.s.3	Verdriet	Lichaamswerking	ik versmelt in traenen
alew001besl01_01.TEI.2.text.body.div.div.sp.1302.s.3	Verdriet	Lichaamsdeel	traenen
alew001besl01_01.TEI.2.text.body.div.div.stage.1327.s.2	Welwillendheid	Lichaamsdeel	schouder
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Emotie	meedoogend
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Lichaamsdeel	oogen
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Verdriet	Emotie	hartseer
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Verdriet	Lichaamswerking	hartseer
alew001besl01_01.TEI.2.text.body.div.div.sp.1612.s.2	Mededogen	Emotie	bewoogen
alew001besl01_01.TEI.2.text.body.div.div.sp.1625.s.5	Welwillendheid	Emotie	lijen
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Woede	Lichaamsdeel	hart
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Woede	Lichaamswerking	hart
alew001besl01_01.TEI.2.text.body.div.div.sp.1737.s.4	Welwillendheid	Lichaamswerking	verzachten
alew001besl01_01.TEI.2.text.body.div.div.sp.1765.s.1	Berusting	Emotie	paciensy
alew001besl01_01.TEI.2.text.body.div.div.sp.1765.s.2	Blijdschap	Emotie	vermaek
